Pathological_type,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Pancreatic,Rectal,Rectal,Rectal,Rectal,Rectal,Rectal
hsa-miR-1224-5p(1),-10.66230628,-13.2577719,-12.83486396,-11.91598626,-15.83564415,-10.55216421,-12.03754511,-10.11192912,-12.64355152,-12.23185732,-12.36371134,-12.85382353,-11.84756279,-15.40800661,-11.80612927,-11.20167936,-11.12078488,-11.26555766,-13.04629927,-11.27147282,-9.854370976,-12.84629264,-9.994789312,-10.10731624,-8.811232182
hsa-miR-193a-5p(1),-12.11374069,-13.26264105,-12.62675639,-11.92283743,-11.95081205,-10.27316783,-14.97737226,-11.45985272,-13.25826656,-12.00358325,-11.18313753,-12.42085978,-13.39240976,-11.56777985,-12.94061371,-13.61506075,-16.01509192,-12.64406857,-12.56309703,-14.92257979,-14.25068165,-14.07110231,-17.71744376,-15.24226941,-12.38277748
hsa-miR-376c(1),-11.41881626,-9.139555946,-10.44491855,-12.07232577,-11.12540887,-15.22007366,-14.94515763,-9.831821015,-9.41905623,-8.968820744,-11.49801234,-12.59078379,-10.32816291,-10.88551958,-10.77672262,-8.961271387,-7.841866185,-9.371001674,-13.30659039,-12.008675,-15.12937535,-13.16891413,-20.52448779,-14.88717445,-14.7066022
hsa-miR-22(1),-5.658635218,-5.624424837,-9.061062824,-6.641845897,-6.176299676,-5.712334164,-7.087350846,-5.025982672,-5.964500947,-6.126320558,-5.585690657,-6.056808387,-5.644527199,-6.441374649,-6.860731488,-5.177529255,-6.713116884,-5.324849623,-5.703679138,-7.397329165,-7.197529018,-6.470833811,-8.936012681,-8.171464497,-6.15438313
hsa-miR-215(1),-16.83059092,-17.12009754,-15.47213695,-14.42694818,-13.66853416,-17.42821983,-12.83752256,-13.92034131,-12.90070283,-14.77776323,-13.62414004,-12.00582426,-14.16868828,-13.82513649,-13.61325173,-14.47541953,-13.13029349,-14.38005255,-9.972593982,-9.875646283,-12.06978065,-13.27707574,-13.65544416,-12.96339716,-12.23317643
hsa-miR-345(1),-11.57835998,-11.43674098,-10.97402827,-10.77910118,-13.06104356,-11.54839135,-11.15578712,-12.11193232,-13.30366995,-10.91819564,-11.64178481,-13.08828816,-11.82709561,-13.9937534,-13.25840792,-12.30950943,-12.54871978,-11.71807061,-9.810674953,-12.69747925,-13.43651304,-12.56935295,-14.20364811,-13.87845723,-13.20220614
hsa-miR-335-5p(1),-11.15452043,-8.809392846,-7.446105514,-8.393908981,-8.704545949,-10.02761745,-8.678752963,-11.01239238,-11.49007679,-10.96882002,-10.48245708,-11.31776806,-11.72891577,-10.76522469,-10.13610518,-10.19827525,-11.4894503,-9.836714967,-14.12679219,-11.94954472,-11.80546298,-11.12027737,-13.65544416,-13.8377549,-11.31238668
hsa-miR-130a(1),-12.23043541,-9.227910656,-9.481768897,-10.03903031,-9.244427376,-11.25768712,-10.94433867,-11.91928484,-11.51679456,-11.11321008,-12.61186033,-10.28093144,-11.88937843,-10.6994235,-11.7111322,-11.60146736,-13.4590808,-11.57368232,-12.91303454,-11.63418912,-13.52048134,-11.48498562,-17.52557621,-14.78589111,-13.51709473
hsa-miR-486(1),-10.07467311,-9.8693416,-7.621830758,-8.085374592,-8.900779375,-5.832892206,-12.18299329,-14.91810631,-13.01033458,-9.242196891,-11.41631028,-10.80070975,-13.11886499,-12.08715153,-9.5959817,-12.70872538,-11.18217844,-11.01180244,-11.46652057,-11.14594282,-13.71240005,-14.01270533,-11.92900668,-14.60603824,-14.55305695
hsa-miR-191(1),-9.602093987,-7.293807776,-6.418079551,-7.072695299,-7.943302126,-6.811191841,-7.750140164,-8.099105336,-9.372563434,-9.01240952,-8.588517245,-9.010842805,-8.752842103,-8.982816622,-8.378916281,-8.115919496,-7.372375054,-8.029360422,-8.705879109,-8.463532109,-11.14756852,-8.960473413,-9.46045327,-9.139616973,-9.443478396
hsa-miR-362-5p(1),-12.83938228,-14.01032268,-13.95658046,-12.56027109,-12.80110097,-11.98493712,-12.66891931,-13.33463343,-14.55652914,-14.36171296,-13.25069571,-14.17668107,-13.02264761,-13.67229608,-13.68934717,-13.08869028,-14.19280073,-12.79607474,-13.91364666,-14.20637275,-15.01509192,-13.26357713,-16.13455559,-13.38931052,-15.06862132
hsa-miR-129-1-3p(1),-12.86375779,-12.51327741,-8.042991209,-10.5416856,-15.58816075,-10.20181529,-12.71082266,-12.91927926,-16.67304964,-13.66103963,-11.45658099,-17.17668107,-13.55132398,-14.67229608,-11.59239555,-9.499012054,-14.86547938,-10.878536,-12.38579321,-19.14916,-15.03432814,-13.60244497,-16.61832272,-15.47213695,-15.03432814
hsa-miR-376a-A6G-3p(2),-12.95835912,-11.17242938,-11.35596882,-13.53582024,-12.16147956,-15.22007366,-16.79899173,-12.11193232,-9.79473506,-10.47849552,-12.68492297,-13.55132398,-11.76077721,-12.62527898,-11.16584156,-12.01800294,-8.404141413,-10.8227671,-13.31244906,-12.51095985,-15.16603382,-13.15952458,-17.71744376,-14.83986874,-15.53925115
hsa-miR-181b(2),-11.34783138,-10.36122329,-11.99704027,-10.27329817,-10.56420406,-7.891684449,-12.83379978,-13.92034131,-10.63987523,-11.14196972,-12.49216152,-11.42086373,-12.19548464,-10.70864087,-11.98325975,-11.55359459,-13.81678512,-10.57368012,-10.92667959,-12.47824031,-14.5154044,-11.33759862,-13.51371605,-13.74372166,-14.07607713
hsa-miR-182(1),-8.313540114,-8.255849654,-8.185051309,-8.825708501,-8.592070934,-7.076855604,-8.073816511,-13.33463343,-9.384815879,-8.531415465,-6.571350539,-10.44782936,-9.085059583,-9.949650289,-7.607330631,-8.525816537,-8.106786796,-7.648585586,-9.330433858,-11.59135349,-9.924014233,-11.2243475,-9.879537214,-9.542521309,-7.812693665
hsa-miR-29a(1),-6.864541495,-5.908990436,-4.896710384,-6.314474568,-6.750313799,-7.098236877,-6.749127037,-4.701726304,-5.434693638,-5.378739675,-4.98548478,-5.907306815,-5.018441204,-6.115609651,-5.413970653,-5.398338318,-7.249943177,-6.253471239,-6.776130171,-6.285382619,-6.701125357,-6.394275172,-7.313763887,-7.431758053,-6.989757256
hsa-miR-338-3p(1),-12.88128456,-11.16730072,-13.18505425,-12.21922729,-8.974306157,-11.83497463,-11.53962046,-10.50989292,-9.554355869,-11.40113492,-9.580862491,-11.22155429,-10.6236961,-11.16115244,-10.42718255,-10.90552933,-11.85466214,-10.878536,-10.13528231,-10.35695045,-12.77794561,-14.72993471,-16.4333177,-11.66590196,-14.25068165
hsa-miR-154-5p(1),-13.73779683,-11.90262376,-12.26658093,-14.08357166,-14.49860916,-15.42694818,-19.29002254,-29.89735285,-13.61506075,-13.27367137,-16.63291025,-29.89735285,-14.51878704,-15.40800661,-13.41586873,-14.29930035,-11.0707392,-13.15864042,-15.58816075,-16.40800661,-17.8819378,-17.00937072,-19.52014232,-16.82723191,-29.89735285
hsa-miR-125b(2),-5.477760883,-5.030458629,-4.931848876,-5.010119221,-6.244482176,-5.345469783,-7.519907441,-7.526966888,-5.623902617,-4.918453599,-6.260513864,-5.27488261,-6.6639605,-5.546443946,-4.752779091,-9.633849814,-4.047150609,-8.954771056,-5.222651314,-7.752193437,-6.612858707,-6.253962221,-9.515367451,-8.56689109,-6.426683183
hsa-miR-3065-5p(1),-12.39541462,-14.31685873,-11.16928288,-11.31515573,-15.56699614,-14.17668107,-11.58176985,-12.59735787,-10.79065446,-12.7761735,-13.95887592,-13.36780029,-12.9768488,-16.99422418,-12.64749868,-13.51034527,-13.82513649,-14.38005255,-18.00177757,-12.83608715,-16.25349666,-14.74967093,-17.06564975,-15.67606784,-17.13663291
hsa-miR-30a(1),-9.54881811,-8.26331601,-10.51293586,-7.667516605,-5.016786751,-8.631990765,-10.62768054,-7.042767302,-6.537160807,-5.439668887,-8.350083149,-6.206722751,-9.242133988,-5.771852671,-8.306008112,-7.139772198,-7.357116007,-8.612851223,-8.479226416,-8.040687592,-9.559146395,-8.736946512,-11.7194516,-10.96270885,-8.112660504
